x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,label,match_id,turning_point
10,1,0,1,0,1,0.0,28.514,1,0,-0.2498890710382514,1,2023-wimbledon-1101,0
0,1,0,1,0,1,0.0,20.736,0,1,3.530042076502733,0,2023-wimbledon-1101,0
-15,0,0,1,0,1,0.0,11.337,0,1,1.3956852459016396,1,2023-wimbledon-1101,0
0,1,0,1,0,1,0.0,5.706,0,1,1.3050207650273227,0,2023-wimbledon-1101,0
-15,0,0,1,0,1,0.0,19.788,0,1,1.8931530054644805,1,2023-wimbledon-1101,0
0,1,0,1,0,1,0.0,18.918,0,1,0.138807650273224,1,2023-wimbledon-1101,0
10,1,0,1,0,1,0.0,26.584,0,1,2.3982437158469945,0,2023-wimbledon-1101,0
0,1,0,1,0,1,0.0,11.984,0,0,0.11591912568306022,0,2023-wimbledon-1101,0
-10,0,0,1,0,1,0.0,5.435,0,1,0.07573606557377027,1,2023-wimbledon-1101,0
0,1,0,1,0,1,0.0,21.144,0,1,-0.0761721311475409,0,2023-wimbledon-1101,0
-10,0,0,1,0,1,0.0,28.261,0,1,-2.284384153005465,1,2023-wimbledon-1101,0
0,1,0,1,0,1,0.0,15.544,0,1,0.18703333333333325,0,2023-wimbledon-1101,0
-10,0,0,1,0,1,0.0,14.45,0,1,0.21359398907103816,1,2023-wimbledon-1101,0
0,1,0,1,0,1,0.0,15.235,0,0,0.23740928961748645,0,2023-wimbledon-1101,0
-10,0,0,1,0,1,0.0,5.21,0,1,0.3294978142076501,1,2023-wimbledon-1101,0
0,1,0,1,0,1,0.0,11.657,0,1,0.041035519125682964,0,2023-wimbledon-1101,0
-10,0,0,1,0,1,0.0,7.189,0,1,0.029945355191256906,0,2023-wimbledon-1101,0
0,1,0,1,0,1,1.0,24.096,1,1,-0.7032251366120216,1,2023-wimbledon-1101,0
15,1,0,1,0,1,1.0,13.519,1,1,1.7612103825136614,1,2023-wimbledon-1101,0
30,1,0,1,0,1,1.0,31.886,1,1,2.02517868852459,1,2023-wimbledon-1101,1
40,1,0,1,0,1,1.0,12.426,1,0,4.7469393442622945,0,2023-wimbledon-1101,0
25,1,0,1,0,1,1.0,19.807,1,0,3.3167568306010917,0,2023-wimbledon-1101,0
10,1,0,1,0,1,1.0,5.834,1,1,0.2330098360655735,1,2023-wimbledon-1101,1
