x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,label,match_id,turning_point,win_predict
-10,0,0,1,0,0,0.0,28.176,0,1,0.054189617486338756,1,2023-wimbledon-2602,0,35.382888
0,1,0,1,0,0,0.0,5.983,0,1,0.05958852459016398,0,2023-wimbledon-2602,0,4.249579
-10,0,0,1,0,0,0.0,23.014,0,1,-2.003214754098361,1,2023-wimbledon-2602,0,32.218582000000005
0,1,0,1,0,0,0.0,17.396,0,0,0.21873825136612024,0,2023-wimbledon-2602,0,11.152748
-10,0,0,1,0,0,0.0,6.194,0,0,0.21633333333333338,0,2023-wimbledon-2602,0,21.814922
0,1,0,1,1,1,0.0,15.731,1,0,-1.3345710382513658,1,2023-wimbledon-2602,0,10.056103
15,1,0,1,1,1,0.0,16.21,1,1,0.9869852459016394,0,2023-wimbledon-2602,0,-15.972269999999998
0,1,0,1,1,1,0.0,18.574,1,1,-1.4499797814207651,1,2023-wimbledon-2602,0,11.891862000000001
15,1,0,1,1,1,0.0,4.646,1,1,0.9401978142076504,1,2023-wimbledon-2602,1,-23.061002
25,1,0,1,1,1,0.0,3.236,1,0,2.6437060109289616,0,2023-wimbledon-2602,0,-41.62833199999999
10,1,0,1,1,1,0.0,3.942,1,1,0.04789726775956264,1,2023-wimbledon-2602,0,-14.687553999999999
0,1,0,1,0,0,0.0,3.141,0,1,2.6243060109289615,0,2023-wimbledon-2602,1,2.507433
-15,0,0,1,0,0,0.0,17.58,0,0,0.4701639344262294,1,2023-wimbledon-2602,1,37.59954
0,1,0,1,0,0,0.0,33.264,0,1,0.4641863387978142,1,2023-wimbledon-2602,0,20.972832000000004
15,1,0,1,0,0,0.0,20.171,0,0,3.1924355191256835,1,2023-wimbledon-2602,1,-13.561176999999999
25,1,0,1,0,0,0.0,9.589,0,1,2.534053005464481,0,2023-wimbledon-2602,0,-37.56494299999999
10,1,0,1,0,0,0.0,32.303,0,1,2.777897814207651,0,2023-wimbledon-2602,0,2.773738999999999
0,1,0,1,0,0,0.0,1.444,0,1,0.3084180327868855,0,2023-wimbledon-2602,0,1.467172
-10,0,0,1,0,0,0.0,23.271,0,0,-1.9411147540983607,1,2023-wimbledon-2602,0,32.283123
0,1,0,1,0,0,0.0,11.851,0,1,-1.9967617486338802,0,2023-wimbledon-2602,0,7.846663
-10,0,0,1,0,0,0.0,11.149,0,0,-2.0020371584699452,1,2023-wimbledon-2602,0,24.852337
0,1,0,1,0,0,0.0,8.545,0,0,0.1254382513661201,0,2023-wimbledon-2602,0,5.727085
-10,0,0,1,0,0,0.0,11.021,0,1,0.14887595628415298,1,2023-wimbledon-2602,0,24.866873000000002
0,1,0,1,0,0,0.0,9.484,0,1,0.057112021857923405,0,2023-wimbledon-2602,0,6.3956919999999995
-10,0,0,1,0,0,0.0,15.626,0,0,0.09412021857923505,0,2023-wimbledon-2602,0,27.596738000000002
0,1,0,1,0,1,0.5,19.28,1,0,-1.430814207650273,0,2023-wimbledon-2602,0,12.64414
-15,0,0,1,0,1,0.5,14.066,1,1,-1.6978207650273223,1,2023-wimbledon-2602,0,35.874958
0,1,0,1,0,1,0.5,7.789,1,1,-1.4740229508196716,1,2023-wimbledon-2602,0,5.693156999999999
